Motivo del viaje;Tipo de dato;Periodo;Total
Otros motivos;Tasa de variación acumulada;2016M12;22,92
Otros motivos;Tasa de variación acumulada;2016M11;26,76
Otros motivos;Tasa de variación acumulada;2016M10;29,73
Otros motivos;Tasa de variación acumulada;2016M09;39,90
Otros motivos;Tasa de variación acumulada;2016M08;39,90
Otros motivos;Tasa de variación acumulada;2016M07;42,78
Otros motivos;Tasa de variación acumulada;2016M06;45,98
Otros motivos;Tasa de variación acumulada;2016M05;42,43
Otros motivos;Tasa de variación acumulada;2016M04;41,67
Otros motivos;Tasa de variación acumulada;2016M03;38,30
Otros motivos;Tasa de variación acumulada;2016M02;38,85
Otros motivos;Tasa de variación acumulada;2016M01;46,29
Otros motivos;Tasa de variación acumulada;2015M12;""
Otros motivos;Tasa de variación acumulada;2015M11;""
Otros motivos;Tasa de variación acumulada;2015M10;""
